,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_main,weather_description,Time,Date,Ride_count
0,51.75,48.78,49.95,53.56,1016,46,4.7,,,,,1,Clear,sky is clear,00,2014-04-01,138
1,49.32,45.91,48.0,51.76,1016,51,8.05,,,,,1,Clear,sky is clear,01,2014-04-01,66
2,45.21,41.45,42.75,46.94,1017,54,6.93,,,,,1,Clear,sky is clear,02,2014-04-01,53
3,41.61,35.1,40.26,43.95,1019,58,11.41,,,,,1,Clear,sky is clear,03,2014-04-01,93
4,41.13,37.22,39.88,42.06,1019,54,5.82,,,,,1,Clear,sky is clear,04,2014-04-01,166
5,41.07,34.84,38.37,42.75,1019,53,10.29,,,,,1,Clear,sky is clear,05,2014-04-01,333
6,40.95,37.0,37.36,41.95,1020,55,5.82,,,,,1,Clear,sky is clear,06,2014-04-01,722
7,40.41,34.52,37.35,41.43,1020,58,9.17,,,,,1,Clear,sky is clear,07,2014-04-01,1001
8,39.7,33.66,37.02,40.95,1020,59,9.17,,,,,1,Clear,sky is clear,08,2014-04-01,780
9,39.33,33.75,35.94,40.35,1019,56,8.05,,,,,1,Clear,sky is clear,09,2014-04-01,532
10,38.82,36.63,35.94,39.94,1020,58,3.36,,,,,1,Clear,sky is clear,10,2014-04-01,477
11,38.98,33.94,36.95,39.54,1020,58,6.93,,,,,1,Clear,sky is clear,11,2014-04-01,547
12,39.65,37.56,36.95,40.96,1020,59,3.36,,,,,1,Clear,sky is clear,12,2014-04-01,469
13,42.66,39.81,40.95,44.38,1021,52,4.7,,,,,1,Clear,sky is clear,13,2014-04-01,591
14,45.93,42.31,44.04,48.94,1021,47,6.93,,,,,1,Clear,sky is clear,14,2014-04-01,736
15,47.91,45.28,45.03,51.94,1020,45,5.82,,,,,1,Clear,sky is clear,15,2014-04-01,967
16,49.86,48.24,47.23,52.95,1020,42,4.7,,,,,1,Clear,sky is clear,16,2014-04-01,1152
17,53.28,50.09,51.06,58.17,1019,38,0.0,,,,,1,Clear,sky is clear,17,2014-04-01,1262
18,55.8,52.81,53.55,60.39,1018,37,4.7,,,,,1,Clear,sky is clear,18,2014-04-01,1122
19,56.91,53.91,54.95,60.76,1017,34,4.7,,,,,1,Clear,sky is clear,19,2014-04-01,1018
20,58.64,55.8,55.94,62.38,1017,34,4.7,,,,,1,Clear,sky is clear,20,2014-04-01,597
21,58.93,56.12,53.94,62.31,1016,34,0.0,,,,,1,Clear,sky is clear,21,2014-04-01,878
22,55.74,52.95,50.95,61.18,1017,41,4.7,,,,,20,Clouds,few clouds,22,2014-04-01,529
23,51.08,48.09,46.99,57.06,1017,47,4.7,,,,,1,Clear,sky is clear,23,2014-04-01,317
24,49.26,47.53,46.35,52.05,1018,49,4.7,,,,,20,Clouds,few clouds,00,2014-04-02,161
